id,source_platform,title,cover_url,md5,공유그룹번호,사유,비고
c3c1b623-7747-48d5-9b31-9e53eb86c6e9,african_storybook,Amina The Super Girl,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-35626.jpg,76dae1b476f8eefa0fe00a7a20cb230d,1,바이트 동일 표지를 제목이 다른 7권이 공유,
894367c8-3174-49dd-a09f-f22dfd0f18e2,african_storybook,Aria-2,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-35687.jpg,76dae1b476f8eefa0fe00a7a20cb230d,1,바이트 동일 표지를 제목이 다른 7권이 공유,
d5ccc451-f652-4c49-a12e-38aed1b85865,african_storybook,Bea's first day,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-38073.jpg,76dae1b476f8eefa0fe00a7a20cb230d,1,바이트 동일 표지를 제목이 다른 7권이 공유,
33899cb2-3e53-450e-8d75-c8157d5c0d9a,african_storybook,Chico's Dress.,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-37501.jpg,76dae1b476f8eefa0fe00a7a20cb230d,1,바이트 동일 표지를 제목이 다른 7권이 공유,
94590d73-5628-4bcf-99e1-e798810874a3,african_storybook,Ice Cream Story,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-39256.jpg,76dae1b476f8eefa0fe00a7a20cb230d,1,바이트 동일 표지를 제목이 다른 7권이 공유,
ab563547-fae9-4dfc-bab8-6269e8bc1d6c,african_storybook,Laurentia the Great,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-37629.jpg,76dae1b476f8eefa0fe00a7a20cb230d,1,바이트 동일 표지를 제목이 다른 7권이 공유,
f9901e6d-631c-44c5-bd53-fdbb88137b5f,african_storybook,The Story Fatima,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-35588.jpg,76dae1b476f8eefa0fe00a7a20cb230d,1,바이트 동일 표지를 제목이 다른 7권이 공유,
deca0a01-1d4d-4fc0-9c33-486cecf09c19,african_storybook,All about friend ship,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-37186.png,40f4c01d4e329cf678feaa46d97941ac,2,바이트 동일 표지를 제목이 다른 3권이 공유,
3a93b9eb-fbd9-44d1-a10e-f73236d0285e,african_storybook,I'm a big girl,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-37769.png,40f4c01d4e329cf678feaa46d97941ac,2,바이트 동일 표지를 제목이 다른 3권이 공유,
ec228579-27cf-4cec-a9d4-61164613986c,african_storybook,The Right Decision,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-35623.png,40f4c01d4e329cf678feaa46d97941ac,2,바이트 동일 표지를 제목이 다른 3권이 공유,
5cbc7832-7d72-4bbe-9901-b170fa066177,african_storybook,Crazy Animals,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-35421.png,8a77eed4a7a3436b34eff125d5a94ec1,3,바이트 동일 표지를 제목이 다른 3권이 공유,
7ca32e75-1503-4756-9cfc-7ecd12b7c797,african_storybook,Farm animals,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-35428.png,8a77eed4a7a3436b34eff125d5a94ec1,3,바이트 동일 표지를 제목이 다른 3권이 공유,
0dbf9e8d-7261-4356-b272-a693a33df3e5,african_storybook,The Animals,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-35350.png,8a77eed4a7a3436b34eff125d5a94ec1,3,바이트 동일 표지를 제목이 다른 3권이 공유,
3b97c77e-e5ba-4e47-85fd-740b81c72925,african_storybook,A day at the market,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-37874.png,0b60e66d3414f9efc55b6ed50909abbe,4,바이트 동일 표지를 제목이 다른 2권이 공유,
b8c256d6-bf79-4fd4-ba9a-4ae31a892d9c,african_storybook,TRIP TO THE BAZAAR,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-40191.png,0b60e66d3414f9efc55b6ed50909abbe,4,바이트 동일 표지를 제목이 다른 2권이 공유,
