group_no,matched_by,id,source_platform,title,cover_url,유지추천,추천근거,표지해상도(px),비고
15,title,5da2f92d-0c5d-4892-ba26-086af21c01c4,bloom,Jobs,https://s3.amazonaws.com/bloomharvest/joel.mallari%40deped.gov.ph%2f30581cb4-7728-494b-a97a-9587eb8247a2%2fbloomdigital%2fPage%204.jpg,,,332445,
15,title,9a64e1eb-9b98-4061-90b5-dd814a218b4f,bloom,Jobs,https://s3.amazonaws.com/bloomharvest/hello%40luckydesign.ie%2fb30b0142-c791-4a52-9a5e-a4d4e4f4bf2a%2fbloomdigital%2fCover.jpg,Y,최대 해상도,360000,
16,both,e8a19292-9f04-47c5-ab1b-9b3038b8a0c9,african_storybook,Kariza's questions,https://africanstorybook.org/illustrations/covers/22197.png,,팀장 판단(해상도 동률 3권),38400,
16,both,83a228a2-ce33-494d-a6db-fa8c7a899f6d,african_storybook,Step and wash!,https://africanstorybook.org/illustrations/covers/35414.png,,팀장 판단(해상도 동률 3권),38400,
16,both,dbf4b6d9-099a-4c6e-8da9-71c453916b60,african_storybook,Step and wash!,https://africanstorybook.org/illustrations/covers/34080.png,,팀장 판단(해상도 동률 3권),38400,
17,identical_file+cover+title,75890d66-c900-43fb-bb5a-e2bfcffb58b7,african_storybook,Luwo's House,https://africanstorybook.org/illustrations/covers/32346.png,,팀장 판단(해상도 동률 2권),38400,
17,identical_file+cover+title,8bccf2ed-1e2b-4706-a09b-8c977ecd8dc0,bloom,Luwo's House,https://s3.amazonaws.com/bloomharvest/1jWVbi8azo%2f1778675736419%2fbloomdigital%2fLuwo%2011.jpg,,팀장 판단(해상도 동률 2권),575280,
17,identical_file+cover+title,3d352d10-a692-4a1f-a648-7d600dbb49c3,bloom,Luwo’s House,https://s3.amazonaws.com/bloomharvest/K76ltcXrob%2f1779888679075%2fbloomdigital%2fLuwo%201.jpg,,팀장 판단(해상도 동률 2권),575280,
18,both,426312e6-fb6f-4c4f-aa9f-a0083dd68a92,african_storybook,My mother,https://africanstorybook.org/illustrations/covers/32048.png,,팀장 판단(해상도 동률 3권),38400,
18,both,bf6b2967-a8eb-472f-b36e-089a4366d27f,african_storybook,My mother,https://africanstorybook.org/illustrations/covers/24441.png,,팀장 판단(해상도 동률 3권),38400,
18,both,625aab17-1784-4dda-86c4-0f8e7d7dee3c,african_storybook,The beauty of a mother,https://africanstorybook.org/illustrations/covers/24673.png,,팀장 판단(해상도 동률 3권),38400,
19,both,47765b0a-694f-4b29-a037-de984facc223,african_storybook,Our Wonderful World,https://africanstorybook.org/illustrations/covers/2253.png,,팀장 판단(해상도 동률 3권),38400,
19,both,27f4f971-d9ae-4976-911e-a832c025be49,african_storybook,Our World,https://africanstorybook.org/illustrations/covers/20491.png,,팀장 판단(해상도 동률 3권),38400,
19,both,fd777194-0a4c-450f-ba3e-4fe3cb16fcd1,african_storybook,Our World,https://africanstorybook.org/illustrations/covers/21712.png,,팀장 판단(해상도 동률 3권),38400,
20,both,3e025af2-e08d-411a-96ff-cbe6e33b4d1d,bloom,Rain,https://s3.amazonaws.com/bloomharvest/bethann_carlson%40sil.org%2f232b4859-e9d8-497b-90bd-d4d6d1d8e038%2fbloomdigital%2fASP_123_rain_1_Page_02_Image_0001.png,,,358801,
20,both,8447373c-62e7-491c-b90d-f075e8fde714,bloom,Rain,https://s3.amazonaws.com/bloomharvest/marian_hagg%40sil.org%2f80850f42-0f82-49db-b834-d3e6fe8caed2%2fbloomdigital%2fASP_123_rain_1_Page_02_Image_0001.png,,,358801,
