id,source_platform,title,cover_url,md5,공유그룹번호,사유
c3c1b623-7747-48d5-9b31-9e53eb86c6e9,african_storybook,Amina The Super Girl,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-35626.jpg,76dae1b476f8eefa0fe00a7a20cb230d,1,바이트 동일 표지 7권 공유
894367c8-3174-49dd-a09f-f22dfd0f18e2,african_storybook,Aria-2,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-35687.jpg,76dae1b476f8eefa0fe00a7a20cb230d,1,바이트 동일 표지 7권 공유
d5ccc451-f652-4c49-a12e-38aed1b85865,african_storybook,Bea's first day,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-38073.jpg,76dae1b476f8eefa0fe00a7a20cb230d,1,바이트 동일 표지 7권 공유
33899cb2-3e53-450e-8d75-c8157d5c0d9a,african_storybook,Chico's Dress.,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-37501.jpg,76dae1b476f8eefa0fe00a7a20cb230d,1,바이트 동일 표지 7권 공유
94590d73-5628-4bcf-99e1-e798810874a3,african_storybook,Ice Cream Story,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-39256.jpg,76dae1b476f8eefa0fe00a7a20cb230d,1,바이트 동일 표지 7권 공유
ab563547-fae9-4dfc-bab8-6269e8bc1d6c,african_storybook,Laurentia the Great,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-37629.jpg,76dae1b476f8eefa0fe00a7a20cb230d,1,바이트 동일 표지 7권 공유
f9901e6d-631c-44c5-bd53-fdbb88137b5f,african_storybook,The Story Fatima,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-35588.jpg,76dae1b476f8eefa0fe00a7a20cb230d,1,바이트 동일 표지 7권 공유
deca0a01-1d4d-4fc0-9c33-486cecf09c19,african_storybook,All about friend ship,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-37186.png,40f4c01d4e329cf678feaa46d97941ac,2,바이트 동일 표지 3권 공유
3a93b9eb-fbd9-44d1-a10e-f73236d0285e,african_storybook,I'm a big girl,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-37769.png,40f4c01d4e329cf678feaa46d97941ac,2,바이트 동일 표지 3권 공유
ec228579-27cf-4cec-a9d4-61164613986c,african_storybook,The Right Decision,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-35623.png,40f4c01d4e329cf678feaa46d97941ac,2,바이트 동일 표지 3권 공유
5cbc7832-7d72-4bbe-9901-b170fa066177,african_storybook,Crazy Animals,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-35421.png,8a77eed4a7a3436b34eff125d5a94ec1,3,바이트 동일 표지 3권 공유
7ca32e75-1503-4756-9cfc-7ecd12b7c797,african_storybook,Farm animals,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-35428.png,8a77eed4a7a3436b34eff125d5a94ec1,3,바이트 동일 표지 3권 공유
0dbf9e8d-7261-4356-b272-a693a33df3e5,african_storybook,The Animals,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-35350.png,8a77eed4a7a3436b34eff125d5a94ec1,3,바이트 동일 표지 3권 공유
3b97c77e-e5ba-4e47-85fd-740b81c72925,african_storybook,A day at the market,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-37874.png,0b60e66d3414f9efc55b6ed50909abbe,4,바이트 동일 표지 2권 공유
b8c256d6-bf79-4fd4-ba9a-4ae31a892d9c,african_storybook,TRIP TO THE BAZAAR,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-40191.png,0b60e66d3414f9efc55b6ed50909abbe,4,바이트 동일 표지 2권 공유
3f09c4cd-9b0a-421d-bacd-09c74cf7efe7,gdl,"Sister, Sister, Why Don't Things Fall Up?",https://content.digitallibrary.io/wp-content/uploads/2023/04/34977-02a526e3718a8a48210b48220f03776d-coverImage.jpeg,244487ce972a4dbe476d88f5bafd1813,5,바이트 동일 표지 2권 공유
14b63f32-f767-4af5-9fb8-df4e333828e3,gdl,"Sister, Sister, Why Don’t Things Fall Up?",https://content.digitallibrary.io/wp-content/uploads/2023/04/36171-02a526e3718a8a48210b48220f03776d-coverImage.jpeg,244487ce972a4dbe476d88f5bafd1813,5,바이트 동일 표지 2권 공유
14ef47db-c8aa-47b6-9159-eee87df012bc,african_storybook,Donkey and I book 1,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-37218.png,3c2d74285d0782e977f06a238cff0a93,6,바이트 동일 표지 2권 공유
e15c2160-6c9b-4dea-9825-36da9a82ee52,african_storybook,THE TRAPPED RAT,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-40074.png,3c2d74285d0782e977f06a238cff0a93,6,바이트 동일 표지 2권 공유
45f33617-29a3-4d65-abbb-a8e4c14df13c,african_storybook,The children discover a portal,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-36909.png,40079beaac9cc20b06e1dcce6fa13c23,7,바이트 동일 표지 2권 공유
7ded32a4-659c-4a17-a808-8abbf9adb4b5,african_storybook,Wicked Friends.,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-35574.png,40079beaac9cc20b06e1dcce6fa13c23,7,바이트 동일 표지 2권 공유
4275096a-37ab-439c-9c7e-6bfb0f438e0e,african_storybook,Granny and the angel.,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-36721.png,40eafcf2025b5f13f85afbbcb874b9b4,8,바이트 동일 표지 2권 공유
34dfe6e8-828c-4193-9861-3e0c99f5b60c,african_storybook,THE OLD WOMAN AND THE FAIRY,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-40449.png,40eafcf2025b5f13f85afbbcb874b9b4,8,바이트 동일 표지 2권 공유
8bd2abc7-78fa-4834-82e1-3f3d70122838,bloom,Colours,https://s3.amazonaws.com/bloomharvest/cara_ediger%40sil-lead.org%2f86719656-00fb-416b-8482-793ccafe0364%2fbloomdigital%2fSWPB_95-colours-tell-me-now-series_Page_02_Image_0001.png,5ce7164b81b3db0917fe5859eb0a1e48,9,바이트 동일 표지 2권 공유
e395f1f4-9a6a-4be6-bf47-c73673c663c2,bloom,Colours,https://s3.amazonaws.com/bloomharvest/ernest_nniakyire%40gillbt.org%2fab1aea58-e2e4-443b-80a1-bddff931eb33%2fbloomdigital%2fSWPB_95-colours-tell-me-now-series_Page_02_Image_0001.png,5ce7164b81b3db0917fe5859eb0a1e48,9,바이트 동일 표지 2권 공유
8bccf2ed-1e2b-4706-a09b-8c977ecd8dc0,bloom,Luwo's House,https://s3.amazonaws.com/bloomharvest/1jWVbi8azo%2f1778675736419%2fbloomdigital%2fLuwo%2011.jpg,6d50932f1a1f606c365a905e538b4ac3,10,바이트 동일 표지 2권 공유
3d352d10-a692-4a1f-a648-7d600dbb49c3,bloom,Luwo’s House,https://s3.amazonaws.com/bloomharvest/K76ltcXrob%2f1779888679075%2fbloomdigital%2fLuwo%201.jpg,6d50932f1a1f606c365a905e538b4ac3,10,바이트 동일 표지 2권 공유
7b39da9d-a732-4c14-ae22-43c69bd5e60a,african_storybook,Animal mania,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-39221.jpg,756eaaf2923acbba81c182e52b40cb2d,11,바이트 동일 표지 2권 공유
2f6882bd-b02e-4bd0-8329-10a62da541aa,african_storybook,WHEN ELEPHANT RULED,https://zuwbshdvpnranzheswdn.supabase.co/storage/v1/object/public/book-covers/asb-40311.jpg,756eaaf2923acbba81c182e52b40cb2d,11,바이트 동일 표지 2권 공유
31617e8a-708e-4718-b2cf-c7e95e3f697c,bloom,Colours of Nature,https://s3.amazonaws.com/bloomharvest/okuukeremetbooks%40gmail.com%2fade8e83d-9b2a-4bd5-8404-e0a4385a9113%2fbloomdigital%2fSWPB_114-colours-of-nature_Page_02_Image_0001.png,79e2b97eccc8372f842a3ed139e889d1,12,바이트 동일 표지 2권 공유
eb1af9d3-cda7-4725-8ac7-5ecf9620b871,bloom,Colours of Nature,https://s3.amazonaws.com/bloomharvest/cara_ediger%40sil-lead.org%2f1b7a882c-9de5-49e5-af0a-007b7d315d3c%2fbloomdigital%2fSWPB_114-colours-of-nature_Page_02_Image_0001.png,79e2b97eccc8372f842a3ed139e889d1,12,바이트 동일 표지 2권 공유
d097ab0b-754d-4dd6-9a78-a60235914dfb,bloom,Disability is not inability,https://s3.amazonaws.com/bloomharvest/farhad%40foundationsduhok.com%2fb700877a-f0e4-483b-8e9a-e1b4cd726022%2fbloomdigital%2fimage2.jpg,8ba7fa3710c190b7ef59cbe6d2592cac,13,바이트 동일 표지 2권 공유
98ea493b-9d0f-445f-94b1-58ec6939d8cf,bloom,They Can Do Many Things,https://s3.amazonaws.com/bloomharvest/bethann_carlson%40sil.org%2f8512c734-aac8-4424-9b3e-02effb605e2b%2fbloomdigital%2fimage2.jpg,8ba7fa3710c190b7ef59cbe6d2592cac,13,바이트 동일 표지 2권 공유
6945cb16-03b9-423a-96ab-9ea1b56bc92c,gdl,The Boy and the Drum,https://content.digitallibrary.io/wp-content/uploads/2022/03/httpsdigitallibrary.iowp-contentuploads20201015937-7c82e3c3967af7cd0fc0bc6c6c18d468-a045902a940be4f3b9a0dd0e44886dc5.jpg,8ec205fac3e30cc050cced269370c8c9,14,바이트 동일 표지 2권 공유
72c7351c-42e0-45d1-b853-cb39cf474c2f,gdl,The Boy and the Drum (A Shorter Version),https://content.digitallibrary.io/wp-content/uploads/2022/03/httpsdigitallibrary.iowp-contentuploads20201015943-7c82e3c3967af7cd0fc0bc6c6c18d468-a045902a940be4f3b9a0dd0e44886dc5.jpg,8ec205fac3e30cc050cced269370c8c9,14,바이트 동일 표지 2권 공유
