title,source_id,reader_url,origin_html_url,has_audio
Queen of Soweto,9c9e640c-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/cd9286f5-5651-48fe-9419-9021a1a362cd/read,https://bookdash.github.io/bookdash-books/queen-of-soweto/en/,True
Rafiki's Style,9c9e6e52-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/4019adf1-3050-4309-aa9b-b7725fb767fd/read,https://bookdash.github.io/bookdash-books/rafikis-style/en/,True
Sbu's Special Shoes,9c9e9fc6-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/5160e64e-7ad8-4e4d-8961-01d851861e14/read,https://bookdash.github.io/bookdash-books/sbus-special-shoes/en/,True
Searching for the Spirit of Spring,9c9e76ea-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/357bf174-064b-4f3c-abfd-e06e6e42d69c/read,https://bookdash.github.io/bookdash-books/searching-for-the-spirit-of-spring/en/,True
Shongololo's Shoes,9c9f41f6-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/9f4abcc9-f4f5-4b29-abf3-b6db4fa9dbea/read,https://bookdash.github.io/bookdash-books/shongololos-shoes/en/,True
Sima and Siza,9c9ea96c-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/0d9d9fdd-4f51-489e-b075-7f1e6fec2efc/read,https://bookdash.github.io/bookdash-books/sima-and-siza/en/,True
Sindi and the Moon,9c9ea21e-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/597540ce-cdfb-49d8-8f40-cdbbb18d5459/read,https://bookdash.github.io/bookdash-books/sindi-and-the-moon/en/,True
Sindiwe & the Fireflies,9c9e596c-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/96f3031c-b429-4b93-9797-8fb821b5211c/read,https://bookdash.github.io/bookdash-books/sindiwe-and-the-fireflies/en/,True
Singing the Truth,9c9e62ea-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/b0e7471b-01e1-41f1-acc3-0ed1d0a7c9c2/read,https://bookdash.github.io/bookdash-books/singing-the-truth/en/,True
Sizwe's Smile,9c9e87f2-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/bf1cb69a-e1bf-4682-bdbf-c26422073983/read,https://bookdash.github.io/bookdash-books/sizwes-smile/en/,True
Sleepy Mr Sloth,9c9e7cb2-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/67deeed1-8f5e-4b3e-90cc-c67bda9ecdc9/read,https://bookdash.github.io/bookdash-books/sleepy-mr-sloth/en/,True
Springloaded,9c9f450c-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/1265413c-6f2e-4975-a456-15f1d4ebcd64/read,https://bookdash.github.io/bookdash-books/springloaded/en/,True
Thato's Birthday Surprise,9c9eb68c-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/843f348f-7e69-4a1f-84b3-0eaae42a3d62/read,https://bookdash.github.io/bookdash-books/thatos-birthday-surprise/en/,True
The Best Thing Ever,9c9f5790-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/c1058cd0-3edb-4f48-a3f6-edf593ce0424/read,https://bookdash.github.io/bookdash-books/the-best-thing-ever/en/,True
The Elephant in the Room,9c9ec05a-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/2af1951a-e420-4b2d-9fd2-0e0378081d00/read,https://bookdash.github.io/bookdash-books/the-elephant-in-the-room/en/,True
The Lion Who Wouldn't Try,9ca00316-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/1eb267e9-6915-4752-a9e8-6f4fb17c71ba/read,https://bookdash.github.io/bookdash-books/the-lion-who-wouldnt-try/en/,False
There Must be a Rainbow,9c9ea48a-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/e28d039f-9014-4f43-9577-12ed6f0b6655/read,https://bookdash.github.io/bookdash-books/there-must-be-a-rainbow/en/,True
Together We're Strong,9c9e663c-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/07afc05a-f7e5-41cb-ad0d-6791a418e570/read,https://bookdash.github.io/bookdash-books/together-were-strong/en/,True
Tortoise Finds His Home,9c9e6f9c-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/f5f9e055-ce9a-4eb9-bcbe-056ddc7deed5/read,https://bookdash.github.io/bookdash-books/tortoise-finds-his-home/en/,True
Walking Together,9c9e9102-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/5cacbb62-4e94-43c2-8ad3-26763b885d01/read,https://bookdash.github.io/bookdash-books/walking-together/en/,True
What if,9c9f3292-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/92efecf3-2aa2-4857-9b69-c79e5e6efebf/read,https://bookdash.github.io/bookdash-books/what-if/en/,True
What is it?,9c9ebdc6-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/cf14fa0e-3376-4e68-85d4-c9e2a4854403/read,https://bookdash.github.io/bookdash-books/what-is-it/en/,True
When I Grow Up,9c9f471e-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/589a9cb7-ad60-4ba5-b452-6914bb73be14/read,https://bookdash.github.io/bookdash-books/when-i-grow-up/en/,True
Who is our friend?,9c9f485e-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/67fb3f9c-30fb-46c4-8430-1bc673767e74/read,https://bookdash.github.io/bookdash-books/who-is-our-friend/en/,True
Whose button is this?,9c9eb2cc-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/0d5c90ad-cd47-46e1-a80a-2ba005b3c73b/read,https://bookdash.github.io/bookdash-books/whose-button-is-this/en/,True
Why is Nita upside down?,9c9e5f48-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/e54b29d1-1992-4474-a0b9-7adbc3d13ed5/read,https://bookdash.github.io/bookdash-books/why-is-nita-upside-down/en/,True
Zanele Situ: My Story,9c9e6d12-fe46-11e5-86aa-5e5517507c66,https://hellokiki.co.kr/book/c2820fc8-380f-46a4-86c5-9cb18f1179a7/read,https://bookdash.github.io/bookdash-books/zanele-situ-my-story/en/,True
