id,coverN,old_cover_url
e9b77f86-3dce-456a-90cf-d5fb6f5c05e9,35600,"https://africanstorybook.org/illustrations/covers/35600.png"
e51b3d59-7a64-47fa-aeff-f747d917d3f2,35601,"https://africanstorybook.org/illustrations/covers/35601.png"
4fde4ede-c22e-4953-a335-70db4c4d2366,35602,"https://africanstorybook.org/illustrations/covers/35602.png"
6b51f769-70f6-4c4f-b361-b9728768acad,35603,"https://africanstorybook.org/illustrations/covers/35603.png"
b40923bb-9a39-4ad4-bb62-2af06ac88024,35604,"https://africanstorybook.org/illustrations/covers/35604.png"
dd17d48e-deba-4848-9432-1b248e913286,35605,"https://africanstorybook.org/illustrations/covers/35605.png"
8c8c1c52-fcb7-4e88-93b0-f96505c63eca,35606,"https://africanstorybook.org/illustrations/covers/35606.png"
c2970f77-e3a5-4106-95b8-5495fb271787,35607,"https://africanstorybook.org/illustrations/covers/35607.png"
f4f7466e-2a87-4f5c-bc33-a60f0b30f26b,35608,"https://africanstorybook.org/illustrations/covers/35608.png"
5f62dd2f-ed00-461f-b662-c913b1391993,35611,"https://africanstorybook.org/illustrations/covers/35611.png"
22ae8456-3813-459b-8610-e02f1f23d7a9,35612,"https://africanstorybook.org/illustrations/covers/35612.png"
59c4d5cb-3a96-4ad6-bfff-4db943ce1e42,35613,"https://africanstorybook.org/illustrations/covers/35613.png"
99f6738d-9fb1-4070-bfab-272c367ebc8d,35614,"https://africanstorybook.org/illustrations/covers/35614.png"
c654f7e3-ef72-4e50-9013-80b0184bba7c,35615,"https://africanstorybook.org/illustrations/covers/35615.png"
f47aba78-00c4-4289-abe9-10cbf4f05b53,35617,"https://africanstorybook.org/illustrations/covers/35617.png"
10b6c908-9e18-47da-83a5-24a291df4b5d,35618,"https://africanstorybook.org/illustrations/covers/35618.png"
4f013f3d-3a5b-41e5-af35-b347c3a6988d,35619,"https://africanstorybook.org/illustrations/covers/35619.png"
16cca9f4-7a1e-4eb6-93f6-470dc304c228,35620,"https://africanstorybook.org/illustrations/covers/35620.png"
ec228579-27cf-4cec-a9d4-61164613986c,35623,"https://africanstorybook.org/illustrations/covers/35623.png"
ac251b72-10c2-4263-b572-f14123c81618,35625,"https://africanstorybook.org/illustrations/covers/35625.png"
c3c1b623-7747-48d5-9b31-9e53eb86c6e9,35626,"https://africanstorybook.org/illustrations/covers/35626.png"
1fc0944e-b97d-4915-9cf4-d7758e691c5c,35627,"https://africanstorybook.org/illustrations/covers/35627.png"
d050c9eb-7c35-433d-80f1-c381beb1a789,35628,"https://africanstorybook.org/illustrations/covers/35628.png"
e1df3cd5-b4b4-43cf-8f6c-35a04a3a67d5,35629,"https://africanstorybook.org/illustrations/covers/35629.png"
87e02a1c-690d-4b4f-ad5e-1de0dc69bfd2,35633,"https://africanstorybook.org/illustrations/covers/35633.png"
13640f72-cde3-4e7f-922d-e96be2a01d40,35634,"https://africanstorybook.org/illustrations/covers/35634.png"
4c699618-ca83-4ab3-aa45-0a2de0bfbfd6,35643,"https://africanstorybook.org/illustrations/covers/35643.png"
