new_title,new_source_id,new_author,new_level,matched_existing_title,matched_existing_source_platform,matched_existing_author,classification,match_scope
Little and big,c7a2862b-9477-4378-bd6b-2dbd19a1788a,Little and big,1,Little and big,bloom,Little and big,true-dup,db
Let's go,d25d9a3a-4a7e-4da2-98c3-bd5ded4b1e9c,Thembinkosi Kohli,2,Let's go,bloom,Thembinkosi Kohli,true-dup,db
A House for Mouse,131c8bbe-5473-478b-bd42-96642a44545b,Amy Uzzell and Jennifer Jacobs,2,A House for Mouse,book_dash,"Michele Fry, Amy Uzzell, Jennifer Jacobs",false-positive,db
The Mango Tree,9eefaf48-4784-469a-8a95-52522c0da0b7,Kavya Singh,2,The Mango Tree,bloom(batch),Kavya Singh,true-dup,batch
Jobs,c4ed0e16-6d70-4c6f-9918-236421926bae,Michael Mape,2,Jobs,bloom(batch),Michael Mape,true-dup,batch
The Moon and the Cap,314b2bd9-4328-407b-8383-452e32a807eb,Angie and Upesh,2,The Moon and the Cap,gdl,,unknown(author-missing),db
Smile Please!,529f579a-a2e5-4c8a-b85b-3730ec6817a4,Ajit Narayan,2,Smile Please!,bloom(batch),Ajit Narayan,true-dup,batch
Count to Ten,808e1a8c-3d02-41fe-8b06-f2b370e05ddb,Cathy Marlett,1,Count to Ten,bloom,,unknown(author-missing),db
The Moon and the Cap,99af5c60-365d-4ab1-a965-05b7464392da,Angie and Upesh,1,The Moon and the Cap,gdl,,unknown(author-missing),db
Who is our friend?,85aa76c3-bc3f-49dd-9a85-ac8bcb2b27f2,Gerhard Van Wyk,2,Who is our friend?,book_dash,"Gerhard Van Wyk, Jade Mathieson, Lara de Groot",true-dup,db
Jobs,c76ac14c-0426-4204-b23c-4dda76b73e72,Michael Mape,2,Jobs,bloom(batch),Michael Mape,true-dup,batch
What type of teeth?,2028dc08-4778-41c0-b41f-34562a9a27eb,,1,What type of teeth?,bloom,,unknown(author-missing),db
Sweet and Sour (Tell me now series),7b6bce8f-949d-48c6-af6b-17c1579b801c,Rijuta Ghate,2,Sweet and Sour (Tell me now series),bloom(batch),Rijuta Ghate,true-dup,batch
Little and Big,a96479d0-5e57-48ab-bd87-9768bab9deb3,Little and big,1,Little and big,bloom,Little and big,true-dup,db
My Best Friend,cabf797f-22e4-4e8f-8ca7-4bcaeb26433d,Suvidha Mistry,2,My best friend,gdl,,unknown(author-missing),db
Parts of the Body,4a8c4b88-19df-4c6e-8bf8-9f4f1e4955f1,Sue Beattie,1,Parts of the Body,bloom,Sue Beattie,true-dup,db
"Uwa, the Farmer",5ff84175-4f3f-4530-8f51-335fe0618e1b,Paul Kitum Kaino,2,"Uwa, the Farmer",bloom(batch),Paul Kitum Kaino,true-dup,batch
The Moon and the Cap,b80cb6fd-6f3c-4e09-9617-5c38031bf94d,Angie and Upesh,2,The Moon and the Cap,gdl,,unknown(author-missing),db
Friends,8d77b627-6793-4d0e-9c43-c34f8b3b5bfe,Catherine Groenewald,2,Friends,bloom(batch),Catherine Groenewald,true-dup,batch
Remo's Shoes,7cf8742c-9cdb-4e6a-bb20-358cb928762c,Éidín Griffin,1,Remo's Shoes,bloom(batch),Éidín Griffin,true-dup,batch
Little Painters,0c05911e-e068-4d1e-b65b-fb8d909cc653,Tanvi Choudhury,2,Little Painters,bloom(batch),Tanvi Choudhury,true-dup,batch
One Two Three,6c8aa546-ad99-440f-a3ed-870532d9debe,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
One Two Three,fa5f1873-fccd-43e0-b590-5166169686a0,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
One Two Three,222937e9-2351-4bbb-adbf-8220e94ea52a,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
Иллюcтрации Вуси Малинди автор Нина Оранже адаптация Карлыгач Байгазиевой,fd753d3c-742d-4807-904e-06fc8a184296,Vusi Malindi,2,Иллюcтрации Вуси Малинди автор Нина Оранже адаптация Карлыгач Байгазиевой,bloom(batch),Vusi Malindi,true-dup,batch
My red ball,783e61c8-6ed8-432d-bd2d-ef68be613422,Eliza Atagulova,1,My red ball,bloom(batch),Eliza Atagulova,true-dup,batch
Иллюcтрации Вуси Малинди автор Нина Оранже адаптация Карлыгач Байгазиевой,51b61b5d-f113-4eef-8ffc-b17c7e3908f1,Vusi Malindi,2,Иллюcтрации Вуси Малинди автор Нина Оранже адаптация Карлыгач Байгазиевой,bloom(batch),Vusi Malindi,true-dup,batch
One Two Three,c7ef1d98-6a9a-4ee3-a73e-b40ddc4f7cc3,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
One Two Three,41f0569f-44d1-4847-8353-78853a1953cb,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
Life in my village,6e537e82-d6f6-41be-b9a3-5149ec7c89eb,,2,Life In my Village,african_storybook,Sylvia Komen,unknown(author-missing),db
The Moon and the Cap,f5d31ba4-cbe2-44fb-adca-e534da67dbf8,Angie and Upesh,2,The Moon and the Cap,gdl,,unknown(author-missing),db
One Two Three,50ba59d5-8af2-48ae-a5dc-08ab59848240,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
Wild animals,a5e0dcb0-7154-496d-9745-60e083739ace,Susan Rose,1,Wild Animals,bloom,Yathin Krishnappa,false-positive,db
One Two Three,e5e09ade-c498-483d-9019-75f6678130c1,Little Zebra Books,1,One Two Three,bloom,Little Zebra Books,true-dup,db
My Best Friend,3ac667a9-83cc-4edc-b65e-86e4ae69df60,Suvidha Mistry,2,My best friend,gdl,,unknown(author-missing),db
Whose shoe is this?,95eb25b4-4232-4b55-9151-312531766622,Alicia van Zyl,2,Whose shoe is this?,book_dash,Siphiliselwe Makhanya,false-positive,db
Domestic animals,8c3056de-1d9f-4cc0-8f0f-5f3766348e30,Sandy Campbell,1,Domestic animals,bloom(batch),Sandy Campbell,true-dup,batch
Disability is not inability,f2905c79-d923-4b89-b514-ed45ecc6ad72,Wiehan de Jager,2,Disability is not inability,bloom(batch),Wiehan de Jager,true-dup,batch
Jesus Feeds the Multitude,2240cba2-4e68-4b0a-b588-c152d5a3f1f2,Gavin Thomson,1,Jesus Feeds the Multitude,bloom(batch),Gavin Thomson,true-dup,batch
Look in the sky. What do you see?,d0739b47-8b98-462b-944d-e02a801e1489,Craig Aldred,1,Look in the sky. What do you see?,bloom(batch),Craig Aldred,true-dup,batch
Maria's Family,025ddaf3-a892-4a33-9925-f3f660a1a25d,Magriet Brink & Leo Daly,1,Maria's Family,bloom,Magriet Brink & Leo Daly,true-dup,db
