id,source_id,slug,title,author,content_url,text_scenes,body_chars,cover_chars,total_chars
cd9286f5-5651-48fe-9419-9021a1a362cd,9c9e640c-fe46-11e5-86aa-5e5517507c66,queen-of-soweto,Queen of Soweto,"Jessica Taylor, Mia du Plessis, Marli Fourie",https://bookdash.github.io/bookdash-books/queen-of-soweto/en/,12,4036,73,4109
4019adf1-3050-4309-aa9b-b7725fb767fd,9c9e6e52-fe46-11e5-86aa-5e5517507c66,rafikis-style,Rafiki's Style,"Louis Greenberg, Audrey Anderson, Wesley Thompson",https://bookdash.github.io/bookdash-books/rafikis-style/en/,12,803,77,880
5160e64e-7ad8-4e4d-8961-01d851861e14,9c9e9fc6-fe46-11e5-86aa-5e5517507c66,sbus-special-shoes,Sbu's Special Shoes,"Mark Hardie, Eidin Griffin, Megan Pirie",https://bookdash.github.io/bookdash-books/sbus-special-shoes/en/,12,379,72,451
357bf174-064b-4f3c-abfd-e06e6e42d69c,9c9e76ea-fe46-11e5-86aa-5e5517507c66,searching-for-the-spirit-of-spring,Searching for the Spirit of Spring,"Mosa Mahlaba, Selina Morulane, Sibusiso Mkhwanazi",https://bookdash.github.io/bookdash-books/searching-for-the-spirit-of-spring/en/,12,3753,97,3850
9f4abcc9-f4f5-4b29-abf3-b6db4fa9dbea,9c9f41f6-fe46-11e5-86aa-5e5517507c66,shongololos-shoes,Shongololo's Shoes,"Marteli Kleyn, Megan Lotter, Jacqui L'Ange",https://bookdash.github.io/bookdash-books/shongololos-shoes/en/,11,438,74,512
0d9d9fdd-4f51-489e-b075-7f1e6fec2efc,9c9ea96c-fe46-11e5-86aa-5e5517507c66,sima-and-siza,Sima and Siza,"Lwando Xaso, CClaire Ingram",https://bookdash.github.io/bookdash-books/sima-and-siza/en/,12,1496,54,1550
597540ce-cdfb-49d8-8f40-cdbbb18d5459,9c9ea21e-fe46-11e5-86aa-5e5517507c66,sindi-and-the-moon,Sindi and the Moon,"Thokozani Mkhize, Wesley van Eeden, Zanele Dlamini",https://bookdash.github.io/bookdash-books/sindi-and-the-moon/en/,12,2908,82,2990
96f3031c-b429-4b93-9797-8fb821b5211c,9c9e596c-fe46-11e5-86aa-5e5517507c66,sindiwe-and-the-fireflies,Sindiwe & the Fireflies,"Cheréne Pienaar, Jano Strydom, Tess Gadd",https://bookdash.github.io/bookdash-books/sindiwe-and-the-fireflies/en/,12,2295,77,2372
b0e7471b-01e1-41f1-acc3-0ed1d0a7c9c2,9c9e62ea-fe46-11e5-86aa-5e5517507c66,singing-the-truth,Singing the Truth,"Jade Mathieson, Louwrisa Blaauw, Bianca de Jong",https://bookdash.github.io/bookdash-books/singing-the-truth/en/,12,2406,78,2484
bf1cb69a-e1bf-4682-bdbf-c26422073983,9c9e87f2-fe46-11e5-86aa-5e5517507c66,sizwes-smile,Sizwe's Smile,"Vianne Venter, Genevieve Terblanche, Lauren Rycroft",https://bookdash.github.io/bookdash-books/sizwes-smile/en/,12,3695,78,3773
67deeed1-8f5e-4b3e-90cc-c67bda9ecdc9,9c9e7cb2-fe46-11e5-86aa-5e5517507c66,sleepy-mr-sloth,Sleepy Mr Sloth,"Graham Paterson, Paul Kennedy, Nick Mulgrew",https://bookdash.github.io/bookdash-books/sleepy-mr-sloth/en/,12,1167,72,1239
1265413c-6f2e-4975-a456-15f1d4ebcd64,9c9f450c-fe46-11e5-86aa-5e5517507c66,springloaded,Springloaded,"Thea Nicole de Klerk, Sam Wilson, Chenél Ferreira",https://bookdash.github.io/bookdash-books/springloaded/en/,0,0,75,75
843f348f-7e69-4a1f-84b3-0eaae42a3d62,9c9eb68c-fe46-11e5-86aa-5e5517507c66,thatos-birthday-surprise,Thato's Birthday Surprise,"Jodi Houareau, Brad Cuzen, Corinne Lamoral-Rosmarin",https://bookdash.github.io/bookdash-books/thatos-birthday-surprise/en/,12,1094,90,1184
c1058cd0-3edb-4f48-a3f6-edf593ce0424,9c9f5790-fe46-11e5-86aa-5e5517507c66,the-best-thing-ever,The Best Thing Ever,"Melissa Fagan, Lauren Nel, Stefania Origgi",https://bookdash.github.io/bookdash-books/the-best-thing-ever/en/,12,952,75,1027
2af1951a-e420-4b2d-9fd2-0e0378081d00,9c9ec05a-fe46-11e5-86aa-5e5517507c66,the-elephant-in-the-room,The Elephant in the Room,"Sam Wilson, Michael Tymbios, Thomas Pepler",https://bookdash.github.io/bookdash-books/the-elephant-in-the-room/en/,12,2217,80,2297
1eb267e9-6915-4752-a9e8-6f4fb17c71ba,9ca00316-fe46-11e5-86aa-5e5517507c66,the-lion-who-wouldnt-try,The Lion Who Wouldn't Try,"Nick Mulgrew, André Kieswetter, Liza Esterhuyse",https://bookdash.github.io/bookdash-books/the-lion-who-wouldnt-try/en/,0,0,86,86
e28d039f-9014-4f43-9577-12ed6f0b6655,9c9ea48a-fe46-11e5-86aa-5e5517507c66,there-must-be-a-rainbow,There Must be a Rainbow,"Thulisizwe Mamba, Sinomonde Ngwane, Nerissa Govender",https://bookdash.github.io/bookdash-books/there-must-be-a-rainbow/en/,12,1565,89,1654
07afc05a-f7e5-41cb-ad0d-6791a418e570,9c9e663c-fe46-11e5-86aa-5e5517507c66,together-were-strong,Together We're Strong,"Liesl Jobson, Alice Toich, Nazli Jacobs",https://bookdash.github.io/bookdash-books/together-were-strong/en/,12,9533,74,9607
f5f9e055-ce9a-4eb9-bcbe-056ddc7deed5,9c9e6f9c-fe46-11e5-86aa-5e5517507c66,tortoise-finds-his-home,Tortoise Finds His Home,"Maya Fowler, Katrin Coetzer, Damian Gibbs",https://bookdash.github.io/bookdash-books/tortoise-finds-his-home/en/,12,2085,78,2163
5cacbb62-4e94-43c2-8ad3-26763b885d01,9c9e9102-fe46-11e5-86aa-5e5517507c66,walking-together,Walking Together,"Jade Mathieson, Louwrisa Blaauw, Bianca de Jong",https://bookdash.github.io/bookdash-books/walking-together/en/,12,1096,77,1173
92efecf3-2aa2-4857-9b69-c79e5e6efebf,9c9f3292-fe46-11e5-86aa-5e5517507c66,what-if,What if,"Julie Ann Smith-Belton, MaryAn Hampton, Cristy Zinn",https://bookdash.github.io/bookdash-books/what-if/en/,12,788,72,860
cf14fa0e-3376-4e68-85d4-c9e2a4854403,9c9ebdc6-fe46-11e5-86aa-5e5517507c66,what-is-it,What is it?,"Kate Sidley, Robyn Penn, Ann Roberts",https://bookdash.github.io/bookdash-books/what-is-it/en/,12,391,61,452
589a9cb7-ad60-4ba5-b452-6914bb73be14,9c9f471e-fe46-11e5-86aa-5e5517507c66,when-i-grow-up,When I Grow Up,"Simóne van der Spuy, Michele Fry, Jennifer Jacobs",https://bookdash.github.io/bookdash-books/when-i-grow-up/en/,12,727,77,804
67fb3f9c-30fb-46c4-8430-1bc673767e74,9c9f485e-fe46-11e5-86aa-5e5517507c66,who-is-our-friend,Who is our friend?,"Gerhard Van Wyk, Jade Mathieson, Lara de Groot",https://bookdash.github.io/bookdash-books/who-is-our-friend/en/,13,475,78,553
0d5c90ad-cd47-46e1-a80a-2ba005b3c73b,9c9eb2cc-fe46-11e5-86aa-5e5517507c66,whose-button-is-this,Whose button is this?,"Paul Kennedy, James Woolley, Louise Gale",https://bookdash.github.io/bookdash-books/whose-button-is-this/en/,13,752,75,827
e54b29d1-1992-4474-a0b9-7adbc3d13ed5,9c9e5f48-fe46-11e5-86aa-5e5517507c66,why-is-nita-upside-down,Why is Nita upside down?,"Emma Hearne, Roxana Bouwer, Sarah Bouwer",https://bookdash.github.io/bookdash-books/why-is-nita-upside-down/en/,11,1156,78,1234
c2820fc8-380f-46a4-86c5-9cb18f1179a7,9c9e6d12-fe46-11e5-86aa-5e5517507c66,zanele-situ-my-story,Zanele Situ: My Story,"Liz Sparg, Jesse Breytenbach, Andy Thesen",https://bookdash.github.io/bookdash-books/zanele-situ-my-story/en/,12,2465,76,2541
