platform,source_id,title,fetch_ok,http_status,n_text,n_image,emitted,missing,extra,bad_scheme,error
african_storybook,20892,Unlucky Day!,True,200,20,21,20,0,1,0,
african_storybook,20910,Baby And Cranes,True,200,8,9,8,0,1,0,
african_storybook,20911,Crocodile And Dog,True,200,12,13,12,0,1,0,
african_storybook,20917,Trickster Hare,True,200,12,13,12,0,1,0,
african_storybook,20936,Elephant And The Spirit,True,200,8,9,8,0,1,0,
african_storybook,2102,How Night Came to Opio's Village,True,200,10,11,10,0,1,0,
african_storybook,2104,Hungry Jackal and the Sour Grapes,True,200,8,9,8,0,1,0,
african_storybook,2124,Fruit,True,200,13,12,12,1,0,0,
african_storybook,2129,"Kisirusiru, the Foolish One",True,200,11,11,11,0,0,0,
african_storybook,21309,Greedy Anansi,True,200,11,12,11,0,1,0,
african_storybook,21332,Peace,True,200,8,9,8,0,1,0,
african_storybook,21374,Simbi Gets A New Mother,True,200,16,17,16,0,1,0,
african_storybook,21379,Rooster Cheats,True,200,12,13,12,0,1,0,
african_storybook,21397,Tarik And His Friend,True,200,12,13,12,0,1,0,
african_storybook,2140,Musau Saves His Father,True,200,13,14,13,0,1,0,
african_storybook,21423,Pretty Golden Pen,True,200,8,9,8,0,1,0,
african_storybook,21479,Dog And Jackal,True,200,8,9,8,0,1,0,
african_storybook,21501,Old Woman And Hare,True,200,8,9,8,0,1,0,
african_storybook,21555,The King And His Beautiful Daughter,True,200,5,4,4,1,0,0,
african_storybook,21587,Mother Mouse's Warning,True,200,12,13,12,0,1,0,
african_storybook,21588,Tamara Starts School,True,200,12,13,12,0,1,0,
african_storybook,21602,The Two Naughty Boys,True,200,5,5,5,0,0,0,
african_storybook,21643,Crocodile Waits For Brains,True,200,8,9,8,0,1,0,
african_storybook,21708,Clever Cat And Foolish Dog,True,200,12,13,12,0,1,0,
african_storybook,21728,A Present For Grandma,True,200,7,8,7,0,1,0,
african_storybook,21744,Parna's Calf,True,200,12,13,12,0,1,0,
african_storybook,21778,The goat that ate the spinach,True,200,12,13,12,0,1,0,
african_storybook,21786,"My Friend, My Enemy",True,200,8,9,8,0,1,0,
african_storybook,21789,Girl who did not listen,True,200,12,13,12,0,1,0,
african_storybook,21791,The Witch Who Becomes  A Queen,True,200,8,9,8,0,1,0,
african_storybook,21795,Wrong Advice,True,200,20,21,20,0,1,0,
african_storybook,21797,Who Is The Next Ruler?,True,200,16,17,16,0,1,0,
african_storybook,2181,Children of wax,True,200,12,12,12,0,0,0,
african_storybook,21896,Our Animals,True,200,12,13,12,0,1,0,
african_storybook,21967,i plan to be a king,True,200,7,8,7,0,1,0,
african_storybook,21968,Support,True,200,4,5,4,0,1,0,
african_storybook,21974,"Sun, Moon, and Water",True,200,12,13,12,0,1,0,
african_storybook,21980,Cat and Dog and the butterfly,True,200,13,15,13,0,2,0,
african_storybook,21990,Cat and Dog: Dog is cold,True,200,17,19,17,0,2,0,
african_storybook,21992,Cat and Dog: Cat is yellow,True,200,23,25,23,0,2,0,
african_storybook,21993,Cat and Dog and the worms,True,200,21,23,21,0,2,0,
african_storybook,22032,Berhe and the snake,True,200,12,13,12,0,1,0,
